Ex/Eff Date,Cash Amount,Record Date
12/21/2012,0.8156,12/26/2012
9/21/2012,0.4106,9/24/2012
6/15/2012,0.5102,6/19/2012
3/16/2012,0.3834,3/20/2012
12/16/2011,0.5294,12/20/2011
9/16/2011,0.272,9/20/2011
6/17/2011,0.4686,6/21/2011
3/18/2011,0.4436,3/22/2011
12/17/2010,0.4556,12/20/2010
9/17/2010,0.2833,9/20/2010
3/19/2010,0.3961,3/23/2010
3/20/2009,0.337,3/23/2009
12/19/2008,0.5553,12/23/2008
9/19/2008,0.4367,9/23/2008
9/21/2007,0.3506,9/25/2007
6/15/2007,0.4236,6/19/2007
3/16/2007,0.6135,3/20/2007
9/15/2006,0.3401,9/19/2006
3/18/2005,0.2305,3/22/2005
12/17/2004,0.3059,12/21/2004
9/17/2004,0.2351,9/21/2004
6/18/2004,0.2689,6/22/2004
3/19/2004,0.2456,3/22/2004
12/19/2003,0.2336,12/19/2003
9/19/2003,0.2015,9/19/2003
6/20/2003,0.1985,6/24/2003
3/21/2003,0.2229,3/21/2003
