Date,Adj Close
12/31/2012,84.4
12/28/2012,84.4
12/27/2012,84.4
12/26/2012,84.37
12/24/2012,84.37
12/21/2012,84.37
12/20/2012,84.36
12/19/2012,84.37
12/18/2012,84.35
12/17/2012,84.4
12/14/2012,84.42
12/13/2012,84.4
12/12/2012,84.4
12/11/2012,84.41
12/10/2012,84.41
12/7/2012,84.41
12/6/2012,84.41
12/5/2012,84.41
12/4/2012,84.39
12/3/2012,84.39
11/30/2012,84.38
11/29/2012,84.37
11/28/2012,84.37
11/27/2012,84.36
11/26/2012,84.35
11/23/2012,84.36
11/21/2012,84.36
11/20/2012,84.37
11/19/2012,84.39
11/16/2012,84.4
11/15/2012,84.4
11/14/2012,84.4
11/13/2012,84.38
11/12/2012,84.37
11/9/2012,84.37
11/8/2012,84.37
11/7/2012,84.37
11/6/2012,84.3
11/5/2012,84.33
11/2/2012,84.33
11/1/2012,84.34
10/31/2012,84.36
10/26/2012,84.31
10/25/2012,84.29
10/24/2012,84.32
10/23/2012,84.33
10/22/2012,84.29
10/19/2012,84.32
10/18/2012,84.32
10/17/2012,84.31
10/16/2012,84.36
10/15/2012,84.36
10/12/2012,84.38
10/11/2012,84.35
10/10/2012,84.36
10/9/2012,84.37
10/8/2012,84.37
10/5/2012,84.36
10/4/2012,84.4
10/3/2012,84.4
10/2/2012,84.4
10/1/2012,84.42
9/28/2012,84.42
9/27/2012,84.38
9/26/2012,84.37
9/25/2012,84.35
9/24/2012,84.37
9/21/2012,84.36
9/20/2012,84.35
9/19/2012,84.37
9/18/2012,84.37
9/17/2012,84.36
9/14/2012,84.36
9/13/2012,84.4
9/12/2012,84.37
9/11/2012,84.38
9/10/2012,84.36
9/7/2012,84.38
9/6/2012,84.36
9/5/2012,84.4
9/4/2012,84.4
8/31/2012,84.4
8/30/2012,84.35
8/29/2012,84.34
8/28/2012,84.34
8/27/2012,84.33
8/24/2012,84.34
8/23/2012,84.34
8/22/2012,84.33
8/21/2012,84.28
8/20/2012,84.28
8/17/2012,84.28
8/16/2012,84.27
8/15/2012,84.28
8/14/2012,84.31
8/13/2012,84.33
8/10/2012,84.32
8/9/2012,84.3
8/8/2012,84.3
8/7/2012,84.33
8/6/2012,84.37
8/3/2012,84.36
8/2/2012,84.39
8/1/2012,84.38
7/31/2012,84.4
7/30/2012,84.38
7/27/2012,84.34
7/26/2012,84.4
7/25/2012,84.4
7/24/2012,84.39
7/23/2012,84.41
7/20/2012,84.4
7/19/2012,84.39
7/18/2012,84.37
7/17/2012,84.35
7/16/2012,84.36
7/13/2012,84.33
7/12/2012,84.31
7/11/2012,84.29
7/10/2012,84.28
7/9/2012,84.28
7/6/2012,84.28
7/5/2012,84.25
7/3/2012,84.22
7/2/2012,84.24
6/29/2012,84.21
6/28/2012,84.21
6/27/2012,84.2
6/26/2012,84.2
6/25/2012,84.22
6/22/2012,84.22
6/21/2012,84.21
6/20/2012,84.2
6/19/2012,84.23
6/18/2012,84.24
6/15/2012,84.26
6/14/2012,84.23
6/13/2012,84.22
6/12/2012,84.23
6/11/2012,84.27
6/8/2012,84.27
6/7/2012,84.27
6/6/2012,84.28
6/5/2012,84.31
6/4/2012,84.29
6/1/2012,84.3
5/31/2012,84.29
5/30/2012,84.26
5/29/2012,84.22
5/25/2012,84.24
5/24/2012,84.2
5/23/2012,84.23
5/22/2012,84.19
5/21/2012,84.22
5/18/2012,84.21
5/17/2012,84.2
5/16/2012,84.24
5/15/2012,84.25
5/14/2012,84.26
5/11/2012,84.27
5/10/2012,84.26
5/9/2012,84.27
5/8/2012,84.28
5/7/2012,84.27
5/4/2012,84.27
5/3/2012,84.24
5/2/2012,84.25
5/1/2012,84.24
4/30/2012,84.24
4/27/2012,84.22
4/26/2012,84.24
4/25/2012,84.23
4/24/2012,84.21
4/23/2012,84.24
4/20/2012,84.22
4/19/2012,84.22
4/18/2012,84.21
4/17/2012,84.19
4/16/2012,84.19
4/13/2012,84.19
4/12/2012,84.18
4/11/2012,84.17
4/10/2012,84.18
4/9/2012,84.14
4/5/2012,84.08
4/4/2012,84.05
4/3/2012,84.03
4/2/2012,84.09
3/30/2012,84.07
3/29/2012,84.08
3/28/2012,84.05
3/27/2012,84.07
3/26/2012,84.04
3/23/2012,84.02
3/22/2012,84.01
3/21/2012,84
3/20/2012,83.96
3/19/2012,83.97
3/16/2012,84.03
3/15/2012,83.98
3/14/2012,83.94
3/13/2012,84.05
3/12/2012,84.1
3/9/2012,84.09
3/8/2012,84.09
3/7/2012,84.12
3/6/2012,84.14
3/5/2012,84.14
3/2/2012,84.14
3/1/2012,84.12
2/29/2012,84.14
2/28/2012,84.14
2/27/2012,84.12
2/24/2012,84.1
2/23/2012,84.12
2/22/2012,84.13
2/21/2012,84.09
2/17/2012,84.11
2/16/2012,84.13
2/15/2012,84.16
2/14/2012,84.15
2/13/2012,84.13
2/10/2012,84.18
2/9/2012,84.16
2/8/2012,84.2
2/7/2012,84.2
2/6/2012,84.22
2/3/2012,84.24
2/2/2012,84.24
2/1/2012,84.23
1/31/2012,84.26
1/30/2012,84.26
1/27/2012,84.29
1/26/2012,84.27
1/25/2012,84.26
1/24/2012,84.21
1/23/2012,84.21
1/20/2012,84.2
1/19/2012,84.22
1/18/2012,84.22
1/17/2012,84.23
1/13/2012,84.22
1/12/2012,84.2
1/11/2012,84.21
1/10/2012,84.18
1/9/2012,84.17
1/6/2012,84.15
1/5/2012,84.16
1/4/2012,84.15
1/3/2012,84.14
12/30/2011,84.19
12/29/2011,84.14
12/28/2011,84.13
12/27/2011,84.11
12/23/2011,84.14
12/22/2011,84.12
12/21/2011,84.13
12/20/2011,84.16
12/19/2011,84.18
12/16/2011,84.19
12/15/2011,84.15
12/14/2011,84.16
12/13/2011,84.18
12/12/2011,84.18
12/9/2011,84.18
12/8/2011,84.18
12/7/2011,84.17
12/6/2011,84.14
12/5/2011,84.14
12/2/2011,84.13
12/1/2011,84.15
11/30/2011,84.14
11/29/2011,84.14
11/28/2011,84.13
11/25/2011,84.12
11/23/2011,84.12
11/22/2011,84.11
11/21/2011,84.1
11/18/2011,84.09
11/17/2011,84.12
11/16/2011,84.11
11/15/2011,84.13
11/14/2011,84.14
11/11/2011,84.1
11/10/2011,84.14
11/9/2011,84.13
11/8/2011,84.11
11/7/2011,84.12
11/4/2011,84.14
11/3/2011,84.14
11/2/2011,84.13
11/1/2011,84.11
10/31/2011,84.11
10/28/2011,84.03
10/27/2011,83.99
10/26/2011,84.05
10/25/2011,84.1
10/24/2011,84.05
10/21/2011,84.05
10/20/2011,84.08
10/19/2011,84.07
10/18/2011,84.04
10/17/2011,84.04
10/14/2011,84.03
10/13/2011,83.99
10/12/2011,83.97
10/11/2011,83.97
10/10/2011,83.93
10/7/2011,84
10/6/2011,84.03
10/5/2011,84.05
10/4/2011,84.05
10/3/2011,84.1
9/30/2011,84.08
9/29/2011,84.04
9/28/2011,84.02
9/27/2011,84.05
9/26/2011,84.08
9/23/2011,84.11
9/22/2011,84.1
9/21/2011,84.09
9/20/2011,84.18
9/19/2011,84.22
9/16/2011,84.18
9/15/2011,84.16
9/14/2011,84.15
9/13/2011,84.15
9/12/2011,84.14
9/9/2011,84.2
9/8/2011,84.17
9/7/2011,84.14
9/6/2011,84.16
9/2/2011,84.15
9/1/2011,84.19
8/31/2011,84.16
8/30/2011,84.16
8/29/2011,84.14
8/26/2011,84.16
8/25/2011,84.15
8/24/2011,84.1
8/23/2011,84.1
8/22/2011,84.14
8/19/2011,84.15
8/18/2011,84.15
8/17/2011,84.16
8/16/2011,84.14
8/15/2011,84.14
8/12/2011,84.17
8/11/2011,84.16
8/10/2011,84.18
8/9/2011,84.12
8/8/2011,84.03
8/5/2011,84
8/4/2011,84.02
8/3/2011,83.94
8/2/2011,83.95
8/1/2011,83.85
7/29/2011,83.87
7/28/2011,83.78
7/27/2011,83.74
7/26/2011,83.78
7/25/2011,83.74
7/22/2011,83.77
7/21/2011,83.77
7/20/2011,83.8
7/19/2011,83.83
7/18/2011,83.83
7/15/2011,83.83
7/14/2011,83.81
7/13/2011,83.84
7/12/2011,83.82
7/11/2011,83.83
7/8/2011,83.77
7/7/2011,83.66
7/6/2011,83.74
7/5/2011,83.71
7/1/2011,83.61
6/30/2011,83.63
6/29/2011,83.64
6/28/2011,83.64
6/27/2011,83.79
6/24/2011,83.87
6/23/2011,83.82
6/22/2011,83.77
6/21/2011,83.79
6/20/2011,83.78
6/17/2011,83.78
6/16/2011,83.76
6/15/2011,83.75
6/14/2011,83.63
6/13/2011,83.7
6/10/2011,83.73
6/9/2011,83.66
6/8/2011,83.75
6/7/2011,83.74
6/6/2011,83.68
6/3/2011,83.67
6/2/2011,83.64
6/1/2011,83.69
5/31/2011,83.64
5/27/2011,83.64
5/26/2011,83.61
5/25/2011,83.56
5/24/2011,83.52
5/23/2011,83.52
5/20/2011,83.51
5/19/2011,83.48
5/18/2011,83.47
5/17/2011,83.51
5/16/2011,83.5
5/13/2011,83.46
5/12/2011,83.42
5/11/2011,83.46
5/10/2011,83.38
5/9/2011,83.46
5/6/2011,83.42
5/5/2011,83.41
5/4/2011,83.39
5/3/2011,83.35
5/2/2011,83.32
4/29/2011,83.34
4/28/2011,83.3
4/27/2011,83.3
4/26/2011,83.27
4/25/2011,83.19
4/21/2011,83.18
4/20/2011,83.2
4/19/2011,83.21
4/18/2011,83.19
4/15/2011,83.17
4/14/2011,83.01
4/13/2011,83.09
4/12/2011,83.05
4/11/2011,82.91
4/8/2011,82.92
4/7/2011,82.95
4/6/2011,82.89
4/5/2011,82.89
4/4/2011,82.98
4/1/2011,82.96
3/31/2011,82.89
3/30/2011,82.94
3/29/2011,82.89
3/28/2011,82.92
3/25/2011,82.96
3/24/2011,83.02
3/23/2011,83.08
3/22/2011,83.07
3/21/2011,83.09
3/18/2011,83.18
3/17/2011,83.22
3/16/2011,83.26
3/15/2011,83.11
3/14/2011,83.15
3/11/2011,83.1
3/10/2011,83.09
3/9/2011,83
3/8/2011,82.94
3/7/2011,82.97
3/4/2011,83.03
3/3/2011,82.84
3/2/2011,83.01
3/1/2011,83.05
2/28/2011,83
2/25/2011,82.97
2/24/2011,82.95
2/23/2011,82.91
2/22/2011,82.93
2/18/2011,82.84
2/17/2011,82.81
2/16/2011,82.71
2/15/2011,82.72
2/14/2011,82.68
2/11/2011,82.68
2/10/2011,82.68
2/9/2011,82.72
2/8/2011,82.66
2/7/2011,82.77
2/4/2011,82.81
2/3/2011,82.88
2/2/2011,82.96
2/1/2011,83.01
1/31/2011,83.1
1/28/2011,83.11
1/27/2011,83.07
1/26/2011,83.01
1/25/2011,83.03
1/24/2011,82.97
1/21/2011,82.98
1/20/2011,82.96
1/19/2011,83.05
1/18/2011,83.01
1/14/2011,83.03
1/13/2011,83.03
1/12/2011,83
1/11/2011,83
1/10/2011,83.05
1/7/2011,83.01
1/6/2011,82.89
1/5/2011,82.81
1/4/2011,82.95
1/3/2011,82.97
12/31/2010,82.99
12/30/2010,82.89
12/29/2010,82.92
12/28/2010,82.73
12/27/2010,82.84
12/23/2010,82.79
12/22/2010,82.9
12/21/2010,82.92
12/20/2010,82.94
12/17/2010,82.92
12/16/2010,82.85
12/15/2010,82.83
12/14/2010,82.86
12/13/2010,82.9
12/10/2010,82.85
12/9/2010,82.88
12/8/2010,82.89
12/7/2010,83.01
12/6/2010,83.16
12/3/2010,83.11
12/2/2010,83
12/1/2010,83
11/30/2010,83.13
11/29/2010,83.07
11/26/2010,83.08
11/24/2010,83.02
11/23/2010,83.17
11/22/2010,83.12
11/19/2010,83.04
11/18/2010,83.09
11/17/2010,83.08
11/16/2010,83.03
11/15/2010,82.99
11/12/2010,83.04
11/11/2010,83.04
11/10/2010,83.17
11/9/2010,83.12
11/8/2010,83.23
11/5/2010,83.27
11/4/2010,83.34
11/3/2010,83.32
11/2/2010,83.29
11/1/2010,83.34
10/29/2010,83.3
10/28/2010,83.28
10/27/2010,83.17
10/26/2010,83.21
10/25/2010,83.29
10/22/2010,83.27
10/21/2010,83.29
10/20/2010,83.28
10/19/2010,83.27
