Date,Adj Close
12/31/2012,142.41
12/28/2012,140.03
12/27/2012,141.56
12/26/2012,141.75
12/24/2012,142.35
12/21/2012,142.79
12/20/2012,144.1
12/19/2012,143.27
12/18/2012,144.35
12/17/2012,142.76
12/14/2012,141.1
12/13/2012,141.63
12/12/2012,142.5
12/11/2012,142.43
12/10/2012,141.47
12/7/2012,141.41
12/6/2012,140.98
12/5/2012,140.5
12/4/2012,140.26
12/3/2012,140.45
11/30/2012,141.15
11/29/2012,141.12
11/28/2012,140.46
11/27/2012,139.34
11/26/2012,140.06
11/23/2012,140.35
11/21/2012,138.47
11/20/2012,138.21
11/19/2012,138.15
11/16/2012,135.41
11/15/2012,134.74
11/14/2012,134.97
11/13/2012,136.82
11/12/2012,137.3
11/9/2012,137.19
11/8/2012,137.07
11/7/2012,138.74
11/6/2012,141.95
11/5/2012,140.85
11/2/2012,140.56
11/1/2012,141.82
10/31/2012,140.35
10/26/2012,140.35
10/25/2012,140.43
10/24/2012,140.03
10/23/2012,140.42
10/22/2012,142.4
10/19/2012,142.38
10/18/2012,144.79
10/17/2012,145.17
10/16/2012,144.52
10/15/2012,143.07
10/12/2012,141.88
10/11/2012,142.35
10/10/2012,142.27
10/9/2012,143.18
10/8/2012,144.61
10/5/2012,145.11
10/4/2012,145.1
10/3/2012,144.07
10/2/2012,143.48
10/1/2012,143.33
9/28/2012,142.96
9/27/2012,143.62
9/26/2012,142.28
9/25/2012,143.09
9/24/2012,144.62
9/21/2012,144.84
9/20/2012,144.9
9/19/2012,144.89
9/18/2012,144.81
9/17/2012,144.93
9/14/2012,145.43
9/13/2012,144.78
9/12/2012,142.61
9/11/2012,142.14
9/10/2012,141.74
9/7/2012,142.55
9/6/2012,142
9/5/2012,139.17
9/4/2012,139.29
8/31/2012,139.42
8/30/2012,138.76
8/29/2012,139.77
8/28/2012,139.66
8/27/2012,139.8
8/24/2012,139.77
8/23/2012,138.93
8/22/2012,140.07
8/21/2012,140.01
8/20/2012,140.44
8/17/2012,140.43
8/16/2012,140.24
8/15/2012,139.21
8/14/2012,139.06
8/13/2012,139.04
8/10/2012,139.11
8/9/2012,138.88
8/8/2012,138.76
8/7/2012,138.59
8/6/2012,137.9
8/3/2012,137.63
8/2/2012,134.96
8/1/2012,135.9
7/31/2012,136.01
7/30/2012,136.97
7/27/2012,136.97
7/26/2012,134.49
7/25/2012,132.31
7/24/2012,132.28
7/23/2012,133.43
7/20/2012,134.79
7/19/2012,136.03
7/18/2012,135.68
7/17/2012,134.68
7/16/2012,133.76
7/13/2012,134.08
7/12/2012,131.87
7/11/2012,132.51
7/10/2012,132.49
7/9/2012,133.65
7/6/2012,133.82
7/5/2012,135.11
7/3/2012,135.72
7/2/2012,134.83
6/29/2012,134.42
6/28/2012,131.15
6/27/2012,131.53
6/26/2012,130.35
6/25/2012,129.7
6/22/2012,131.82
6/21/2012,130.81
6/20/2012,133.81
6/19/2012,134.03
6/18/2012,132.74
6/15/2012,132.49
6/14/2012,131.15
6/13/2012,129.77
6/12/2012,130.61
6/11/2012,129.12
6/8/2012,130.78
6/7/2012,129.75
6/6/2012,129.67
6/5/2012,126.82
6/4/2012,125.87
6/1/2012,125.93
5/31/2012,129.18
5/30/2012,129.47
5/29/2012,131.37
5/25/2012,129.8
5/24/2012,130.22
5/23/2012,129.97
5/22/2012,129.9
5/21/2012,129.67
5/18/2012,127.48
5/17/2012,128.58
5/16/2012,130.52
5/15/2012,131.02
5/14/2012,131.78
5/11/2012,133.25
5/10/2012,133.65
5/9/2012,133.38
5/8/2012,134.17
5/7/2012,134.71
5/4/2012,134.62
5/3/2012,136.83
5/2/2012,137.88
5/1/2012,138.29
4/30/2012,137.44
4/27/2012,137.95
4/26/2012,137.72
4/25/2012,136.77
4/24/2012,134.92
4/23/2012,134.41
4/20/2012,135.55
4/19/2012,135.32
4/18/2012,136.2
4/17/2012,136.66
4/16/2012,134.66
4/13/2012,134.75
4/12/2012,136.37
4/11/2012,134.62
4/10/2012,133.53
4/9/2012,135.81
4/5/2012,137.36
4/4/2012,137.43
4/3/2012,138.8
4/2/2012,139.37
3/30/2012,138.36
3/29/2012,137.79
3/28/2012,138.02
3/27/2012,138.71
3/26/2012,139.15
3/23/2012,137.22
3/22/2012,136.78
3/21/2012,137.77
3/20/2012,138
3/19/2012,138.4
3/16/2012,137.86
3/15/2012,137.67
3/14/2012,136.87
3/13/2012,137.02
3/12/2012,134.6
3/9/2012,134.59
3/8/2012,134.07
3/7/2012,132.75
3/6/2012,131.83
3/5/2012,133.78
3/2/2012,134.33
3/1/2012,134.74
2/29/2012,134.05
2/28/2012,134.58
2/27/2012,134.18
2/24/2012,133.96
2/23/2012,133.67
2/22/2012,133.08
2/21/2012,133.51
2/17/2012,133.45
2/16/2012,133.1
2/15/2012,131.64
2/14/2012,132.26
2/13/2012,132.42
2/10/2012,131.45
2/9/2012,132.42
2/8/2012,132.26
2/7/2012,131.87
2/6/2012,131.53
2/3/2012,131.62
