Ex/Eff Date,Cash Amount,Record Date,
12/21/2012,1.0218,12/26/2012,
9/21/2012,0.7795,9/24/2012,
6/15/2012,0.6883,6/19/2012,
3/16/2012,0.6139,3/20/2012,
12/16/2011,0.7701,12/19/2011,
9/16/2011,0.625,9/20/2011,
6/17/2011,0.6276,6/20/2011,
3/18/2011,0.5533,3/22/2011,
9/17/2010,0.6021,9/21/2010,
3/19/2010,0.4804,3/23/2010,
9/19/2008,0.6909,9/23/2008,
6/20/2008,0.6692,6/24/2008,
3/20/2008,0.642,3/25/2008,
9/21/2007,0.7187,9/25/2007,
6/15/2007,0.6556,6/19/2007,
3/16/2007,0.5513,3/20/2007,
9/15/2006,0.5793,9/19/2006,
6/16/2006,0.5555,6/20/2006,
3/17/2006,0.5195,3/21/2006,
12/16/2005,0.6717,12/20/2005,
9/16/2005,0.5217,9/20/2005,
6/17/2005,0.4876,6/21/2005,
3/18/2005,0.4671,3/22/2005,
11/15/2004,0.351,11/17/2004,
9/17/2004,0.4688,9/21/2004,
6/18/2004,0.4138,6/22/2004,
3/19/2004,0.3948,3/22/2004,
12/19/2003,0.5156,12/19/2003,
9/19/2003,0.4001,9/23/2003,
6/20/2003,0.6303,6/24/2003,
3/21/2003,0.3544,3/21/2003,
